district,state,child_stunting_rate,child_wasting_rate,child_underweight_rate,child_anemia_rate,women_anemia_rate,child_diarrhea_rate,child_ari_rate,safe_drinking_water_access,sanitation_access,electricity_access,clean_cooking_fuel_access,iodized_salt_usage,institutional_delivery_rate,full_immunization_rate,health_insurance_coverage,tobacco_use_women,tobacco_use_men,alcohol_use_women,alcohol_use_men,high_blood_sugar_women,high_blood_sugar_men,high_blood_pressure_women,high_blood_pressure_men,female_education_rate,overall_child_health_risk_score,basic_infrastructure_risk_score,lifestyle_disease_risk_score,chronic_disease_risk_score,healthcare_accessibility_score,district_overall_health_risk_score,district_risk_level,district_health_risk_rank,identified_health_risk_factors
north,sikkim,31.8,4.5,15.3,53.5,36.7,7.2,0.7,94.7,83.8,98.9,65.9,99.0,97.3,90.8,24.5,9.9,35.4,3.8,43.5,11.6,16.0,34.849999999999994,42.8,78.5,23.405,-80.46666666666667,23.15,26.3125,70.86666666666666,3.1611666666666665,High,496.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
west,sikkim,25.2,21.1,19.3,67.1,42.7,3.3,2.1,89.9,88.9,98.8,69.8,98.1,99.3,96.9,19.9,8.9,44.9,3.8,50.9,7.4,13.6,32.7,42.8,81.8,27.234999999999996,-81.86666666666667,27.124999999999996,24.125,72.03333333333333,4.7706666666666635,High,408.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
south,sikkim,24.8,8.0,7.2,56.5,39.8,4.5,0.0,93.3,91.7,99.6,66.5,99.4,97.4,86.4,20.8,15.8,47.4,3.8,38.1,12.5,17.6,34.849999999999994,42.8,80.2,21.384999999999998,-82.83333333333333,26.275000000000002,26.9375,68.2,2.629833333333335,High,520.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
east,sikkim,17.8,14.3,13.0,49.8,43.3,6.5,0.5,93.6,85.0,99.4,87.6,97.7,91.8,78.1,29.9,11.2,37.9,3.8,35.9,14.6,15.8,31.6,34.2,86.4,21.044999999999998,-87.73333333333333,22.2,24.049999999999997,66.6,0.1213333333333324,Low,635.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
thiruvallur,tamil nadu,18.1,17.0,20.6,58.4,56.8,5.2,3.9,100.0,75.6,99.8,93.4,86.6,100.0,88.6,57.4,1.7,18.3,0.1,26.7,22.5,23.4,26.4,32.4,83.5,25.515,-88.66666666666667,11.700000000000001,26.174999999999997,82.0,0.0476666666666663,Low,638.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
chennai,tamil nadu,20.4,18.3,21.9,55.3,50.3,4.1,1.0,98.7,90.4,99.9,97.7,97.0,100.0,96.6,58.2,0.7,8.9,0.1,16.1,24.75,22.1,28.8,33.2,92.7,24.965,-94.60000000000001,6.450000000000001,27.212500000000002,84.93333333333334,-2.2015000000000002,Low,700.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kancheepuram,tamil nadu,20.6,15.7,19.8,68.8,57.0,3.1,2.3,99.4,75.9,99.4,88.1,88.8,100.0,69.1,59.7,4.5,17.5,0.8,28.9,22.9,24.3,24.3,32.0,85.0,27.035,-86.8,12.924999999999999,25.875,76.26666666666667,1.2140000000000013,High,592.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
vellore,tamil nadu,29.8,13.1,19.7,60.9,50.6,2.8,0.3,97.7,76.2,99.3,85.3,93.8,99.5,92.7,71.4,4.3,14.4,0.3,23.0,20.4,21.4,25.9,25.6,80.0,26.875,-85.39999999999999,10.5,23.325000000000003,87.86666666666667,0.4350000000000023,Medium,627.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
tiruvannamalai,tamil nadu,30.6,14.8,25.0,64.7,56.6,6.0,2.6,98.5,61.7,99.0,70.7,90.3,99.1,97.1,69.6,4.8,17.2,0.2,24.2,18.8,21.8,19.2,25.8,75.5,29.845000000000006,-75.96666666666665,11.600000000000001,21.400000000000002,88.59999999999998,3.3446666666666713,High,485.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
viluppuram,tamil nadu,23.9,12.4,20.5,73.4,62.5,5.6,1.4,98.4,53.8,99.7,68.6,88.1,99.1,88.5,77.6,8.8,25.1,0.2,38.1,17.7,19.9,19.0,26.1,73.6,28.869999999999997,-72.6,18.05,20.674999999999997,88.39999999999999,4.773000000000001,High,407.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
salem,tamil nadu,23.6,10.1,20.8,51.3,46.3,0.7,1.6,97.6,64.5,99.5,84.5,95.7,100.0,77.0,67.5,6.5,23.5,0.2,24.1,18.0,22.7,26.6,34.0,74.4,23.09,-81.2,13.575000000000001,25.325000000000003,81.5,0.7759999999999998,High,612.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
namakkal,tamil nadu,25.2,10.3,15.7,67.9,51.9,4.0,0.0,99.5,75.2,99.2,89.7,95.7,100.0,83.9,68.8,6.6,19.8,0.1,27.1,19.7,24.0,25.6,31.5,73.5,25.974999999999998,-87.13333333333333,13.4,25.200000000000003,84.23333333333333,0.6833333333333353,High,616.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
erode,tamil nadu,19.4,20.9,26.9,46.5,55.4,1.5,0.0,98.9,67.6,99.6,95.9,97.6,100.0,95.9,77.7,11.1,26.2,0.1,23.5,16.6,16.1,29.5,36.1,73.1,24.684999999999995,-86.46666666666665,15.225,24.575000000000003,91.2,0.5406666666666666,Medium,624.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nilgiris,tamil nadu,26.7,17.3,23.2,45.9,44.2,1.3,0.0,96.4,83.6,98.6,81.5,98.4,100.0,90.1,74.5,6.8,21.5,1.1,25.9,13.6,15.0,34.2,32.9,85.2,24.185,-86.16666666666667,13.825000000000001,23.925,88.2,-0.009333333333334082,Low,643.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dindigul,tamil nadu,27.1,21.1,28.4,50.2,42.6,2.3,0.4,99.5,61.0,98.8,76.3,86.6,97.0,92.6,71.9,6.5,27.7,0.1,26.0,22.1,25.1,25.7,34.2,77.8,26.26,-77.93333333333334,15.075000000000001,26.775000000000002,87.16666666666667,3.2873333333333346,High,489.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
karur,tamil nadu,33.6,18.4,36.3,73.2,65.0,5.6,0.7,99.4,63.6,98.7,72.5,94.2,100.0,82.5,74.6,5.9,25.5,0.4,29.0,23.4,27.474999999999998,24.1,29.1,73.2,34.715,-77.5,15.2,26.018749999999997,85.7,6.629750000000002,High,289.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
tiruchirappalli,tamil nadu,27.6,20.9,27.4,82.3,62.4,5.2,1.4,98.1,67.1,99.0,71.2,94.2,98.6,97.1,67.8,3.5,19.8,0.4,25.7,22.7,26.5,21.4,28.9,80.7,33.39,-77.8,12.35,24.875,87.83333333333333,5.241000000000001,High,373.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
perambalur,tamil nadu,29.1,15.9,22.3,69.2,66.1,4.3,0.0,100.0,57.4,99.1,75.1,92.7,100.0,92.5,75.5,5.5,20.3,0.2,29.1,21.0,23.2,19.8,26.1,73.1,30.425,-76.5,13.775000000000002,22.525000000000002,89.33333333333333,4.130000000000003,High,443.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ariyalur,tamil nadu,25.3,15.1,20.1,62.0,62.4,5.6,0.0,93.2,54.6,98.2,46.7,86.6,100.0,90.8,71.1,8.7,20.7,0.1,28.1,22.0,24.7,20.6,27.5,73.5,27.705000000000002,-63.833333333333336,14.4,23.700000000000003,87.3,5.935333333333334,High,330.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
cuddalore,tamil nadu,20.2,13.9,18.0,64.8,58.6,3.4,1.6,99.5,61.3,99.2,75.6,88.1,99.2,79.0,64.4,7.5,24.4,0.6,32.6,20.5,20.7,20.1,27.0,76.8,25.915,-77.8,16.275,22.075000000000003,80.86666666666666,2.476,High,533.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nagapattinam,tamil nadu,32.3,12.5,24.3,60.9,62.6,5.7,2.5,100.0,69.6,99.0,59.0,93.3,99.7,93.8,70.9,10.4,24.9,0.3,34.3,19.4,19.9,24.5,32.1,79.2,29.81,-75.2,17.474999999999998,23.975,88.13333333333333,5.1739999999999995,High,381.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
thiruvarur,tamil nadu,19.8,18.4,21.5,45.0,58.2,4.3,0.7,100.0,71.0,98.6,58.9,94.6,100.0,97.1,75.2,11.5,24.3,0.4,32.2,24.75,25.9,23.8,31.0,84.9,24.005000000000003,-75.63333333333334,17.1,26.3625,90.76666666666667,3.1678333333333346,High,495.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
thanjavur,tamil nadu,19.6,8.3,21.9,64.8,59.0,4.8,2.6,99.7,79.6,98.8,69.4,95.3,100.0,78.5,70.6,7.6,22.4,0.5,30.0,23.3,27.474999999999998,28.8,34.6,80.6,25.79,-81.9,15.125,28.54375,83.03333333333333,2.6697499999999987,High,517.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
pudukkottai,tamil nadu,32.2,9.5,21.6,71.1,62.5,5.1,3.3,95.7,55.2,98.9,42.0,90.6,100.0,83.3,72.9,7.6,28.3,0.8,31.7,18.5,23.0,23.0,30.2,74.7,30.470000000000002,-63.300000000000004,17.099999999999998,23.675,85.40000000000002,7.683000000000001,High,230.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sivaganga,tamil nadu,27.6,22.8,28.4,56.4,51.5,2.6,0.0,96.5,74.4,99.4,75.2,93.2,100.0,89.4,67.7,2.4,17.5,0.4,23.0,22.7,26.2,22.0,26.0,78.8,28.45,-81.03333333333335,10.825,24.225,85.7,2.183333333333331,High,545.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
madurai,tamil nadu,32.4,9.5,21.5,54.3,48.0,4.3,0.6,98.7,80.1,98.9,91.2,88.4,100.0,88.8,66.3,0.8,20.3,0.4,24.5,21.2,22.7,25.6,31.8,83.9,26.185,-89.0,11.5,25.325000000000003,85.03333333333335,0.03900000000000148,Low,639.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
theni,tamil nadu,20.2,15.5,18.8,46.8,41.2,3.8,0.2,99.9,74.4,99.4,89.9,86.6,100.0,95.2,67.4,4.3,21.3,0.3,23.0,22.9,23.1,28.7,35.6,80.9,21.735,-87.06666666666668,12.225,27.575,87.53333333333335,-0.7593333333333359,Low,670.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
virudhunagar,tamil nadu,29.2,14.4,23.7,58.9,56.9,9.3,0.0,97.4,59.8,99.5,90.5,89.5,97.8,76.7,51.3,1.8,18.8,0.5,22.8,19.2,21.6,20.2,22.9,80.5,28.470000000000002,-81.56666666666666,10.975000000000001,20.974999999999998,75.26666666666667,1.4646666666666688,High,579.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ramanathapuram,tamil nadu,26.4,17.7,21.6,57.2,53.6,3.3,0.0,93.9,78.6,99.3,82.7,90.6,99.6,90.4,69.7,1.1,22.8,0.6,29.9,17.2,20.2,23.3,28.2,80.3,26.764999999999997,-84.06666666666666,13.6,22.224999999999998,86.56666666666666,1.0576666666666665,High,600.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
thoothukudi,tamil nadu,20.3,18.4,21.0,55.6,55.9,4.8,0.7,97.0,79.4,100.0,90.7,89.0,100.0,100.0,57.8,1.4,18.5,0.3,21.6,22.0,25.4,24.5,28.2,86.6,25.465,-88.03333333333335,10.45,25.025,85.93333333333334,-0.32566666666666944,Low,655.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
tirunelveli,tamil nadu,29.4,12.0,22.7,49.9,51.0,2.7,0.0,98.1,79.8,99.5,87.9,89.9,100.0,93.3,61.3,0.7,16.3,0.0,17.3,21.0,22.3,22.1,25.5,84.4,25.41,-87.59999999999998,8.575,22.725,84.86666666666667,-1.0959999999999939,Low,679.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kanniyakumari,tamil nadu,17.3,11.4,14.5,39.1,45.6,0.9,0.0,98.2,96.2,99.8,74.4,97.2,100.0,96.0,64.1,1.0,11.0,0.2,14.8,24.75,25.2,24.4,30.2,92.9,18.725,-88.60000000000001,6.75,26.137500000000003,86.7,-3.6525,Low,707.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dharmapuri,tamil nadu,28.7,16.9,23.2,54.2,42.5,3.2,0.0,98.7,72.4,99.4,82.5,93.4,99.6,90.6,75.5,7.9,24.6,0.7,26.8,15.4,18.1,25.8,30.8,72.6,25.89,-83.53333333333335,15.0,22.525,88.56666666666666,1.154333333333331,High,595.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
krishnagiri,tamil nadu,29.0,10.4,19.3,46.5,44.0,1.1,0.4,99.8,75.9,99.2,86.0,95.2,99.6,87.3,73.6,8.2,20.3,0.2,22.7,14.0,15.0,23.5,25.3,72.6,23.229999999999997,-86.23333333333333,12.850000000000001,19.45,86.83333333333333,-1.494666666666666,Low,687.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
coimbatore,tamil nadu,23.0,7.0,18.5,37.8,48.9,2.9,1.2,99.9,78.5,99.4,95.5,98.8,100.0,94.5,61.0,5.5,21.4,0.5,22.9,19.1,18.3,29.2,33.3,84.2,20.544999999999998,-90.3,12.575,24.975,85.16666666666667,-2.331999999999997,Low,701.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
tiruppur,tamil nadu,21.5,15.3,23.1,44.8,55.2,1.5,0.7,99.8,75.9,99.5,95.4,98.3,100.0,78.1,59.9,5.7,22.8,0.1,26.2,18.3,18.6,26.8,28.9,75.8,23.595,-89.36666666666667,13.700000000000001,23.150000000000002,79.33333333333333,-1.0653333333333332,Low,678.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
adilabad,telangana,45.7,29.5,52.0,76.3,61.1,10.3,1.7,95.7,50.8,99.2,81.6,97.6,94.1,69.3,63.6,11.0,29.7,2.1,28.3,10.8,12.8,23.1,26.4,58.6,42.405,-75.03333333333333,17.775,18.275,75.66666666666666,9.165333333333331,High,154.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
bhadradri kothagudem,telangana,28.4,21.8,25.3,69.3,68.7,9.2,1.0,99.1,75.3,99.4,89.2,97.7,97.4,80.4,59.4,4.7,28.4,2.9,38.8,18.3,18.4,29.6,30.1,62.7,32.45,-86.86666666666666,18.700000000000003,24.1,79.06666666666668,4.166666666666671,High,440.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
hyderabad,telangana,30.4,17.7,18.9,63.6,52.7,1.0,0.8,99.6,84.4,99.9,99.5,97.4,98.3,73.8,48.9,1.7,12.4,0.7,28.0,21.2,26.8,30.2,41.7,80.3,28.079999999999995,-93.5,10.700000000000001,29.975,73.66666666666667,0.6670000000000016,High,618.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jagitial,telangana,29.9,17.5,32.3,59.9,56.3,4.1,0.4,97.3,76.5,99.3,94.7,96.5,94.4,77.7,59.2,11.2,23.5,2.6,47.6,15.5,19.5,25.5,31.3,55.9,30.009999999999998,-88.5,21.225,22.95,77.10000000000001,3.1390000000000002,High,498.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jangoan,telangana,33.4,22.9,30.9,69.5,57.5,10.8,2.7,99.4,84.3,99.3,91.1,96.8,99.6,84.2,71.7,4.1,27.1,3.8,56.849999999999994,14.4,18.3,26.1,29.0,56.6,33.945,-90.59999999999998,22.9625,21.950000000000003,85.16666666666667,4.4405000000000046,High,426.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jayashankar bhupalapally,telangana,32.5,31.8,36.7,67.9,65.9,7.0,1.9,95.1,65.6,99.3,90.3,97.7,99.5,87.9,71.5,5.6,27.4,3.8,53.1,13.5,17.4,28.4,31.5,52.4,36.065000000000005,-82.66666666666667,22.474999999999998,22.7,86.3,6.927666666666667,High,268.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
jogulamba gadwal,telangana,49.7,17.3,41.7,82.4,64.6,5.4,3.7,97.0,73.7,99.8,86.1,86.6,94.2,86.9,61.8,9.7,23.7,3.8,34.6,9.3,14.3,21.5,29.7,47.8,41.005,-84.6,17.95,18.7,80.96666666666668,6.812000000000003,High,275.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
kamareddy,telangana,33.4,34.5,43.9,71.6,58.9,7.1,1.4,99.4,68.2,99.5,82.3,93.6,97.1,75.5,66.5,5.6,25.7,3.8,41.8,12.9,17.5,27.7,29.1,51.1,37.589999999999996,-82.30000000000001,19.224999999999998,21.8,79.7,6.780999999999995,High,279.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
karimnagar,telangana,30.3,13.9,27.5,70.8,61.1,13.5,2.1,98.3,78.8,99.7,94.9,99.1,98.4,73.4,58.6,5.7,19.3,3.8,49.8,16.8,20.0,25.0,34.7,63.6,32.075,-89.66666666666667,19.65,24.125,76.8,3.651666666666668,High,469.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
khammam,telangana,22.2,24.7,26.2,60.5,62.4,6.7,8.149999999999999,98.4,84.5,99.7,97.1,96.6,97.9,86.6,60.4,2.0,19.5,1.3,31.8,17.7,17.7,27.6,30.8,61.8,29.985000000000003,-92.33333333333333,13.649999999999999,23.450000000000003,81.63333333333334,0.9473333333333369,High,606.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
komaram bheem asifabad,telangana,38.1,35.7,41.1,70.7,67.3,7.1,2.2,93.6,54.0,97.8,85.8,92.9,82.0,76.2,63.6,12.8,37.7,3.0,38.4,8.4,11.6,21.8,27.2,52.9,39.31,-76.8,22.975,17.25,73.93333333333332,8.409000000000002,High,192.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mahabubabad,telangana,33.0,19.3,26.3,81.1,62.8,11.2,1.5,98.2,68.6,99.6,86.6,96.2,97.7,76.1,69.3,5.0,28.1,3.8,56.5,14.1,16.5,21.9,28.8,55.0,34.80499999999999,-83.46666666666667,23.349999999999998,20.325000000000003,81.03333333333335,5.963666666666662,High,327.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mahabubnagar,telangana,42.6,17.8,33.0,82.6,54.7,4.0,2.4,99.6,73.7,99.4,85.9,94.1,98.1,89.4,70.3,7.5,25.3,3.8,42.9,10.8,14.2,24.2,26.5,54.8,36.769999999999996,-85.40000000000002,19.874999999999996,18.925,85.93333333333334,5.387999999999993,High,364.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
mancherial,telangana,25.9,22.1,27.4,58.7,56.7,12.6,1.1,95.6,78.1,99.6,93.1,97.7,90.1,76.0,64.4,6.5,22.4,1.9,44.1,14.2,16.1,27.9,32.0,58.4,29.745,-87.93333333333332,18.725,22.549999999999997,76.83333333333333,2.566333333333336,High,525.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
medak,telangana,36.4,21.3,42.0,70.0,54.4,13.3,1.2,99.9,78.2,99.4,80.1,97.1,98.9,69.3,61.2,6.4,26.2,3.8,54.0,14.0,19.5,26.7,28.9,52.3,35.98499999999999,-85.06666666666668,22.599999999999998,22.275,76.46666666666665,6.355666666666663,High,307.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
medchal malkajgiri,telangana,33.4,12.0,25.0,73.8,56.8,6.4,4.1,99.9,86.2,100.0,99.0,98.8,98.3,76.1,53.8,3.0,17.9,2.4,39.3,16.5,18.6,26.5,34.8,72.9,31.7,-94.03333333333335,15.649999999999999,24.1,76.06666666666666,1.8233333333333315,High,557.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nagarkurnool,telangana,35.1,27.3,30.9,75.1,54.0,3.6,2.9,99.6,73.2,99.9,87.3,92.0,98.0,81.1,68.6,6.2,30.8,3.8,55.5,12.5,14.5,24.6,27.3,51.1,34.82,-85.7,24.075,19.725,82.56666666666666,5.548000000000001,High,354.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nalgonda,telangana,31.7,29.8,28.0,74.5,54.3,4.6,5.2,99.2,76.4,99.9,94.6,87.5,98.3,78.3,64.8,4.0,24.3,3.8,51.4,13.8,17.0,19.6,25.7,59.8,34.18,-89.06666666666668,20.875,19.025,80.46666666666665,3.838666666666664,High,458.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nirmal,telangana,31.7,18.1,33.4,65.3,57.7,7.8,0.0,98.3,63.6,99.5,88.8,95.1,96.7,75.3,49.9,13.0,29.0,3.5,43.9,11.7,15.8,25.1,28.5,53.3,31.995,-82.56666666666666,22.35,20.275,73.96666666666667,4.80966666666667,High,405.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
nizamabad,telangana,30.5,26.2,38.4,65.3,57.0,16.199999999999996,1.1,99.4,72.5,99.9,92.4,96.9,97.3,86.1,52.3,8.6,20.6,3.8,40.2,13.5,15.6,27.1,31.2,54.3,34.54,-87.10000000000001,18.3,21.85,78.56666666666666,4.425999999999999,High,427.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
peddapalli,telangana,27.5,28.8,33.1,69.6,64.6,11.6,2.0,98.0,77.8,99.5,96.6,97.8,96.5,73.1,59.1,4.6,21.6,3.8,47.5,13.7,16.8,27.7,34.7,61.3,34.42,-89.8,19.375,23.225,76.23333333333333,4.328,High,429.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
rajanna sircilla,telangana,22.4,19.4,26.1,65.7,56.0,6.1,2.1,98.7,77.4,99.8,96.6,98.5,97.6,84.1,62.8,8.5,19.4,3.8,49.9,13.2,20.3,30.2,36.0,56.4,28.700000000000003,-89.90000000000002,20.4,24.925,81.5,2.5649999999999986,High,526.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
ranga reddy,telangana,37.8,13.9,29.5,75.8,53.2,5.3,1.1,99.4,81.1,99.7,97.0,98.2,97.2,85.8,58.3,4.5,18.9,3.8,46.8,15.3,19.6,28.5,35.0,68.6,33.29,-91.5,18.499999999999996,24.6,80.43333333333334,3.636,High,470.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sangareddy,telangana,32.9,25.0,35.1,67.0,48.3,12.3,0.8,99.4,68.0,99.6,81.1,97.5,93.0,78.5,58.1,5.4,27.3,3.8,39.7,11.3,16.3,25.7,32.6,60.2,33.42999999999999,-81.83333333333333,19.05,21.475,76.53333333333333,5.110333333333332,High,385.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
siddipet,telangana,28.1,19.3,29.6,63.5,56.7,8.3,3.1,97.2,84.1,99.5,93.2,98.5,99.7,63.1,60.9,5.2,23.2,3.8,50.3,14.7,20.0,26.6,36.9,60.8,30.694999999999997,-90.5,20.624999999999996,24.549999999999997,74.56666666666668,3.2129999999999965,High,492.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
suryapet,telangana,29.1,24.9,30.1,76.6,57.5,4.6,4.3,99.8,77.9,99.4,94.5,93.0,95.9,70.4,63.1,3.0,20.8,3.8,46.7,17.7,23.9,25.2,27.3,57.4,33.655,-89.73333333333333,18.575,23.525,76.46666666666667,3.9353333333333325,High,456.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
vikarabad,telangana,32.1,20.0,37.1,70.0,61.0,13.0,2.5,99.7,66.7,99.1,76.0,89.1,95.0,86.2,59.6,11.6,29.2,3.8,44.7,10.8,14.3,27.0,30.3,53.1,34.739999999999995,-79.8,22.325,20.6,80.26666666666667,6.520999999999998,High,294.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
wanaparthy,telangana,40.4,15.1,33.2,75.3,58.7,5.0,1.7,99.4,75.9,99.2,88.9,93.5,99.0,87.0,70.1,8.9,27.5,3.8,48.7,13.9,16.5,22.5,25.5,49.3,35.18000000000001,-87.06666666666668,22.224999999999998,19.6,85.36666666666667,5.023666666666665,High,390.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
warangal rural,telangana,36.1,19.0,37.9,71.5,59.3,14.4,4.6,99.0,74.3,99.7,87.8,97.4,100.0,79.0,72.0,2.8,23.2,3.8,54.4,15.6,18.1,26.3,29.4,51.8,36.114999999999995,-86.03333333333335,21.05,22.35,83.66666666666667,5.919333333333328,High,333.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
warangal urban,telangana,29.5,29.5,36.0,67.0,57.9,8.7,4.3,99.1,81.2,99.6,94.6,96.6,99.7,70.1,62.0,1.5,14.0,2.9,43.3,17.1,19.0,24.5,32.7,70.3,34.339999999999996,-90.63333333333333,15.424999999999999,23.325000000000003,77.26666666666667,3.3593333333333346,High,484.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
yadadri bhuvanagiri,telangana,38.3,10.3,27.2,65.3,53.8,6.0,1.1,99.7,81.9,99.6,94.9,98.7,97.7,76.7,65.3,5.6,22.2,3.8,56.849999999999994,14.6,18.0,24.8,32.3,59.1,31.084999999999997,-91.16666666666667,22.112499999999997,22.425,79.89999999999999,3.1081666666666647,High,500.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
dhalai,tripura,45.7,15.9,27.6,81.2,70.0,4.9,1.5,81.05000000000001,67.6,97.7,34.0,98.7,87.3,73.7,44.2,30.85,61.3,3.8,40.2,14.5,17.0,14.5,17.4,74.8,37.769999999999996,-59.88333333333333,34.03750000000001,15.85,68.39999999999999,13.108833333333335,High,29.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
gomati,tripura,22.7,27.6,29.0,70.7,62.3,9.8,1.6,87.7,77.4,98.8,47.7,99.0,93.2,67.1,29.9,30.85,55.8,3.8,33.7,16.8,17.4,19.8,21.4,80.1,32.14,-69.93333333333334,31.0375,18.85,63.400000000000006,8.846833333333334,High,169.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
khowai,tripura,47.0,16.6,24.7,73.4,63.7,0.7,2.0,83.2,67.8,99.0,41.5,100.0,95.7,60.7,44.1,30.85,61.9,3.8,40.3,17.8,18.3,19.0,21.4,81.3,35.595000000000006,-63.166666666666664,34.212500000000006,19.125,66.83333333333333,12.27216666666667,High,47.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
north tripura,tripura,26.2,30.0,32.2,52.5,69.3,5.7,0.7,81.05000000000001,74.1,96.2,41.6,99.2,85.4,69.6,28.7,30.85,64.0,3.8,33.5,18.3,22.9,18.8,19.3,86.4,31.325000000000003,-64.58333333333333,33.0375,19.825,61.23333333333333,10.185833333333335,High,112.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
sepahijala,tripura,34.5,14.9,21.0,72.1,69.4,9.9,0.4,97.4,75.4,99.0,37.1,99.7,87.7,70.3,31.6,30.85,50.4,3.8,29.5,18.2,22.2,19.3,19.9,78.9,32.795,-68.96666666666667,28.6375,19.9,63.199999999999996,9.032166666666667,High,163.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
south tripura,tripura,25.5,15.3,21.6,59.6,66.5,11.3,3.2,90.5,68.6,95.9,29.4,99.3,89.7,48.5,37.3,30.85,54.3,3.8,30.5,18.2,20.4,22.4,24.2,80.4,28.95,-61.833333333333336,29.8625,21.299999999999997,58.5,9.445833333333333,High,142.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
unakoti,tripura,31.8,19.3,32.0,62.8,67.9,6.2,1.6,81.05000000000001,61.8,96.4,29.2,99.3,71.5,58.3,28.0,30.85,59.7,3.4,23.3,16.9,19.9,21.0,22.1,81.6,32.63499999999999,-56.35,29.312500000000004,19.975,52.6,11.641499999999997,High,68.0,"['High malnutrition', 'High anemia', 'High tobacco usage']"
